hot_streak,wr,rank,freshBlood,inactive,veteran,championPoints,lastPlayTime,outcome
0.0,0.11155966422971642,-10.0,0.2,0.0,0.0,-138281.99999999997,143.46750719472766,1
-0.0,-0.11155966422971642,10.0,-0.2,-0.0,-0.0,138281.99999999997,-143.46750719472766,0
-0.4,-0.07341771450077039,-1.1999999999999993,-0.39999999999999997,0.0,0.0,-15939.199999999983,-232.5912065654993,1
0.4,0.07341771450077039,1.1999999999999993,0.39999999999999997,-0.0,-0.0,15939.199999999983,232.5912065654993,0
-0.2,-0.017160786562815278,-0.6000000000000014,-0.2,0.0,0.0,145750.99999999997,39.68278380483389,1
0.2,0.017160786562815278,0.6000000000000014,0.2,-0.0,-0.0,-145750.99999999997,-39.68278380483389,0
0.0,-0.006661622617117113,1.1999999999999993,-0.2,0.0,0.6,-66958.79999999999,236.21518056467175,1
-0.0,0.006661622617117113,-1.1999999999999993,0.2,-0.0,-0.6,66958.79999999999,-236.21518056467175,0
0.0,-0.010776333240683278,-1.3999999999999986,0.2,0.0,0.0,167932.0,589.768008723855,1
-0.0,0.010776333240683278,1.3999999999999986,-0.2,-0.0,-0.0,-167932.0,-589.768008723855,0
0.6,0.06079577577302575,-2.1999999999999993,-0.20000000000000007,0.0,0.0,-119298.99999999997,72.49990835040808,1
-0.6,-0.06079577577302575,2.1999999999999993,0.20000000000000007,-0.0,-0.0,119298.99999999997,-72.49990835040808,0
0.0,-0.045922648563655244,1.3999999999999986,0.2,0.0,0.4,497105.39999999997,-3443.296386577189,1
-0.0,0.045922648563655244,-1.3999999999999986,-0.2,-0.0,-0.4,-497105.39999999997,3443.296386577189,0
-0.2,0.06181531971251297,1.1999999999999993,0.0,0.0,0.0,75702.0,-1550.8056481704116,1
0.2,-0.06181531971251297,-1.1999999999999993,-0.0,-0.0,-0.0,-75702.0,1550.8056481704116,0
0.0,-0.008237534682831726,-5.400000000000002,0.4,0.0,0.2,415867.0,-1461.9197023138404,1
-0.0,0.008237534682831726,5.400000000000002,-0.4,-0.0,-0.2,-415867.0,1461.9197023138404,0
0.2,-0.04024978509167221,-2.599999999999998,0.0,0.0,0.2,287616.0,411.60176004096866,1
-0.2,0.04024978509167221,2.599999999999998,-0.0,-0.0,-0.2,-287616.0,-411.60176004096866,0
-0.4,-0.10182311044553694,1.1999999999999993,-0.2,0.0,-0.2,7702.200000000012,4334.763799905777,1
0.4,0.10182311044553694,-1.1999999999999993,0.2,-0.0,0.2,-7702.200000000012,-4334.763799905777,0
0.0,0.046276607581974605,7.0,-0.2,0.0,0.2,-24903.20000000001,-2632.140243884176,1
-0.0,-0.046276607581974605,-7.0,0.2,-0.0,-0.2,24903.20000000001,2632.140243884176,0
