hot_streak,wr,rank,freshBlood,inactive,veteran,championPoints,lastPlayTime,outcome
0.2,0.008194586802119264,5.799999999999997,0.4,0.0,-0.2,-108551.2,-1468.030184429139,1
-0.2,-0.008194586802119264,-5.799999999999997,-0.4,-0.0,0.2,108551.2,1468.030184429139,0
-0.2,-0.14078096662888417,1.5999999999999979,0.0,0.0,0.2,-67795.79999999999,-5006.974633645266,1
0.2,0.14078096662888417,-1.5999999999999979,-0.0,-0.0,-0.2,67795.79999999999,5006.974633645266,0
-0.2,0.014358094660457454,1.4000000000000021,-0.2,0.0,-0.2,614498.7999999999,-12458.777865417302,1
0.2,-0.014358094660457454,-1.4000000000000021,0.2,-0.0,0.2,-614498.7999999999,12458.777865417302,0
0.0,-0.012123878005569133,1.1999999999999993,0.2,0.0,0.0,-114390.8,16662.74295976013,1
-0.0,0.012123878005569133,-1.1999999999999993,-0.2,-0.0,-0.0,114390.8,-16662.74295976013,0
-0.4,0.16219210400058443,4.600000000000001,0.0,0.0,0.2,-65674.59999999999,-15191.769038289785,1
0.4,-0.16219210400058443,-4.600000000000001,-0.0,-0.0,-0.2,65674.59999999999,15191.769038289785,0
0.19999999999999996,-0.0018269798042719332,5.0,0.4,0.0,0.0,-97228.59999999999,-27683.754728898406,1
-0.19999999999999996,0.0018269798042719332,-5.0,-0.4,-0.0,-0.0,97228.59999999999,27683.754728898406,0
0.4,-0.06668214247486559,-3.0,0.0,0.0,0.2,59406.79999999999,-82024.56807469577,1
-0.4,0.06668214247486559,3.0,-0.0,-0.0,-0.2,-59406.79999999999,82024.56807469577,0
0.2,0.07765560470557631,-4.399999999999999,-0.2,0.0,0.0,247612.99999999997,26967.289258159697,1
-0.2,-0.07765560470557631,4.399999999999999,0.2,-0.0,-0.0,-247612.99999999997,-26967.289258159697,0
-0.4,0.028566937214738353,-2.1999999999999993,0.0,0.0,0.0,-155567.8,21206.09481056407,1
0.4,-0.028566937214738353,2.1999999999999993,-0.0,-0.0,-0.0,155567.8,-21206.09481056407,0
-0.2,-0.004422101491759145,-0.8000000000000007,0.2,0.0,0.0,-338181.79999999993,32932.52052985877,1
0.2,0.004422101491759145,0.8000000000000007,-0.2,-0.0,-0.0,338181.79999999993,-32932.52052985877,0
0.0,0.17623051483927854,3.400000000000002,-0.4,0.0,0.0,247152.2,-21418.838064383715,1
-0.0,-0.17623051483927854,-3.400000000000002,0.4,-0.0,-0.0,-247152.2,21418.838064383715,0
0.0,0.06576686283010647,-1.8000000000000007,0.0,0.0,0.0,-632816.3999999999,72776.02768360451,1
-0.0,-0.06576686283010647,1.8000000000000007,-0.0,-0.0,-0.0,632816.3999999999,-72776.02768360451,0
0.2,-0.009987141083336204,2.0,0.2,0.0,0.0,1448466.4,-11249.122780308127,1
-0.2,0.009987141083336204,-2.0,-0.2,-0.0,-0.0,-1448466.4,11249.122780308127,0
